Name,Address,Lat,Lon,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Acres Homes Multi-Service Center,"6719 W Montgomery Rd, Houston, TX 77091",29.85750335,-95.42211454,8:00AM-8:30PM,8:00AM-8:30PM,8:00AM-8:30PM,8:00AM-8:30PM,8:00AM-5:30PM,,
Independence Heights Community Center,"603 E 35th St, Houston, TX 77022",29.81845575,-95.39091993,11:00AM-7:00PM,11:00AM-7:00PM,11:00AM-7:00PM,11:00AM-7:00PM,11:00AM-7:00PM,,
Kashmere Multi-Service Center,"4802 Lockwood Dr, Houston, TX 77026",29.80430771,-95.31656196,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,,
MacGregor Park Fitness Center,"5225 Calhoun Rd, Houston, TX 77021",29.70968934,-95.33987292,7:00AM-7:00PM,7:00AM-7:00PM,7:00AM-7:00PM,7:00AM-7:00PM,7:00AM-7:00PM,,
YMCA Children's Academy at Texas Medical Center,"5614 H. Mark Crosswell, Jr. Street, Houston, 77520",29.71070691,-95.37619406,6:00AM-6:30PM,6:00AM-6:30PM,6:00AM-6:30PM,6:00AM-6:30PM,6:00AM-6:30PM,,
Third Ward Multi-Service Center,"3611 Ennis St, Houston, TX 77004",29.72835993,-95.36161622,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,,
Cherryhurst Community Center,"1700 Missouri St, Houston, TX 77006",29.74443432,-95.39813608,11:00AM-7:00PM,11:00AM-7:00PM,11:00AM-7:00PM,11:00AM-7:00PM,11:00AM-7:00PM,,
Metropolitan Multi-Service Center,"1475 W Gray St, Houston, TX 77019",29.75239345,-95.40014981,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,,
Central Library,"500 McKinney St, Houston, TX 77002",29.75946442,-95.36998932,12:00PM-6:00PM,9:00AM-6:00PM,9:00AM-6:00PM,9:00AM-6:00PM,9:00AM-6:00PM,10:00AM-6:00PM,
DeZavala Community Center,"907 76th St, Houston, TX 77012",29.73780027,-95.28808848,11:00AM-7:00PM,11:00AM-7:00PM,11:00AM-7:00PM,11:00AM-7:00PM,11:00AM-7:00PM,,
Eastwood Community Center,"5020 Harrisburg Blvd, Houston, TX 77011",29.74237723,-95.3254921,11:00AM-7:00PM,11:00AM-7:00PM,11:00AM-7:00PM,11:00AM-7:00PM,11:00AM-7:00PM,,
Settegast Community Center,"3000 Garrow St, Houston, TX 77003",29.75306755,-95.3440077,11:00AM-7:00PM,11:00AM-7:00PM,11:00AM-7:00PM,11:00AM-7:00PM,11:00AM-7:00PM,,
Swiney Community Center,"2812 Cline St, Houston, TX 77020",29.76677739,-95.34066638,11:00AM-7:00PM,11:00AM-7:00PM,11:00AM-7:00PM,11:00AM-7:00PM,11:00AM-7:00PM,,
Fifth Ward Multi-Service Center,"4014 Market St, Houston, TX 77020",29.77215057,-95.33063335,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,,
Finnigan Community Center,"4900 Providence St, Houston, TX 77020",29.76936142,-95.31979288,12:00PM-8:00PM,12:00PM-8:00PM,12:00PM-8:00PM,12:00PM-8:00PM,12:00PM-8:00PM,,
Denver Harbor Multi-Service Center,"6402 Market St, Houston, TX 77020",29.7720774,-95.30473653,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,,
Tuffly Community Center,"3200 Russell St, Houston, TX 77026",29.79069802,-95.33155972,11:00AM-7:00PM,11:00AM-7:00PM,11:00AM-7:00PM,11:00AM-7:00PM,11:00AM-7:00PM,,
YMCA Children's Academy at Avenue Center,"3517 Irvington Blvd., Suite 150, Houston, TX 77009",29.79287847,-95.36119932,6:30AM-6:30PM,6:30AM-6:30PM,6:30AM-6:30PM,6:30AM-6:30PM,6:30AM-6:30PM,,
Proctor Plaza Community Center,"803 W Temple St, Houston, TX 77009",29.79329168,-95.38255465,11:00AM-7:00PM,11:00AM-7:00PM,11:00AM-7:00PM,11:00AM-7:00PM,11:00AM-7:00PM,,
Montie Beach Community Center,"915 Northwood St, Houston, TX 77009",29.80009766,-95.37871032,11:00AM-7:00PM,11:00AM-7:00PM,11:00AM-7:00PM,11:00AM-7:00PM,11:00AM-7:00PM,,
Milroy Community Center,"1205 Yale St, Houston, TX 77008",29.79265398,-95.39959795,9:00AM-10:00PM,9:00AM-10:00PM,9:00AM-10:00PM,9:00AM-10:00PM,,,
West End Multi-Service Center,"170 Heights Blvd, Houston, TX 77007",29.77254332,-95.39680471,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,,
